ARCHIVO GENERADO AUTOMÁTICAMENTE POR unir_logs.py
Fecha de generación: 2026-07-21 14:26:32
Total de archivos .log encontrados: 9
================================================================================

================================================================================
ARCHIVO: Bullet.log
================================================================================
﻿[2026-07-21 12:35:40.126] Bala dirigida a Zombie_base.
[2026-07-21 12:35:40.227] Bala dirigida a Zombie_base.
[2026-07-21 12:35:40.243] Bala dirigida a Zombie_base.
[2026-07-21 12:35:41.120] Bala dirigida a Zombie_base.
[2026-07-21 12:35:41.992] Bala dirigida a Zombie_base.
[2026-07-21 12:35:42.724] Bala impactó en Zombie_base.
[2026-07-21 12:35:42.844] Bala impactó en Zombie_base.
[2026-07-21 12:35:42.846] Bala impactó en Zombie_base.
[2026-07-21 12:35:43.460] Bala dirigida a Zombie_base.
[2026-07-21 12:35:43.564] Bala dirigida a Zombie_base.
[2026-07-21 12:35:43.580] Bala dirigida a Zombie_base.
[2026-07-21 12:35:43.739] Bala impactó en Zombie_base.
[2026-07-21 12:35:44.464] Bala dirigida a Zombie_base.
[2026-07-21 12:35:44.684] Bala impactó en Zombie_base.
[2026-07-21 13:06:18.204] Bala dirigida a Zombie_base.
[2026-07-21 13:06:18.230] Bala dirigida a Zombie_base.
[2026-07-21 13:06:18.379] Bala dirigida a Zombie_base.
[2026-07-21 13:06:19.009] Bala dirigida a Zombie_base.
[2026-07-21 13:06:19.748] Bala dirigida a Zombie_base.
[2026-07-21 13:06:20.797] Bala impactó en Zombie_base.
[2026-07-21 13:06:20.827] Bala impactó en Zombie_base.
[2026-07-21 13:06:20.976] Bala impactó en Zombie_base.
[2026-07-21 13:06:21.539] Bala dirigida a Zombie_base.
[2026-07-21 13:06:21.567] Bala dirigida a Zombie_base.
[2026-07-21 13:06:21.604] Bala impactó en Zombie_base.
[2026-07-21 13:06:21.713] Bala dirigida a Zombie_base.
[2026-07-21 13:06:22.345] Bala dirigida a Zombie_base.
[2026-07-21 13:06:22.406] Bala impactó en Zombie_base.
[2026-07-21 13:07:40.641] Bala dirigida a Zombie_base.
[2026-07-21 13:07:40.674] Bala dirigida a Zombie_base.
[2026-07-21 13:07:40.889] Bala dirigida a Zombie_base.
[2026-07-21 13:07:41.789] Bala dirigida a Zombie_base.
[2026-07-21 13:07:42.842] Bala dirigida a Zombie_base.
[2026-07-21 13:07:43.326] Bala impactó en Zombie_base.
[2026-07-21 13:07:43.356] Bala impactó en Zombie_base.
[2026-07-21 14:07:31.901] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:31.941] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:32.151] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:33.054] Bala dirigida a Zombie_base(Clone).
[2026-07-21 14:07:34.109] Bala dirigida a Zombie_base(Clone).
